"Mediterranean hypsometry digitized from Figure 2 in Meijer and Krijgsman (2005), EPSL",
depth (m),area (m^2)
0,2.47E+12
-14.62716049,2.42E+12
-34.74567901,2.36E+12
-48.18765432,2.32E+12
-61.61975309,2.27E+12
-75.04197531,2.23E+12
-88.44444444,2.20E+12
-101.8567901,2.16E+12
-115.2691358,2.13E+12
-135.3382716,2.10E+12
-155.4074074,2.07E+12
-195.5160494,2.02E+12
-228.9283951,1.98E+12
-248.9777778,1.96E+12
-282.3901235,1.92E+12
-309.1160494,1.90E+12
-335.8419753,1.87E+12
-355.891358,1.85E+12
-395.9802469,1.81E+12
-422.7061728,1.78E+12
-456.0987654,1.76E+12
-496.1580247,1.73E+12
-549.5506173,1.70E+12
-616.3259259,1.65E+12
-656.3950617,1.62E+12
-703.1111111,1.60E+12
-743.1802469,1.57E+12
-796.582716,1.54E+12
-876.6716049,1.50E+12
-950.0740741,1.47E+12
-1043.506173,1.42E+12
-1136.938272,1.38E+12
-1217.046914,1.33E+12
-1290.439506,1.30E+12
